exp_id,exp_desc,n_pecas,n_tipos,sheet_label,sheet_W,sheet_L,fixed,metodo,n_colocadas,n_total,z,z_lb,gap_pct,area_chapa,area_pecas,utilizacao,refugo,tempo_ms,n_chapas,media_pecas_chapa,n_restricoes,n_vars_binarias
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1000x2000mm,1000.0,2000.0,True,GSAO,11,11,247.69,189.44,23.52,247685.86,102610.77,41.43,58.57,1428.75,1,11.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1500x3000mm,1500.0,3000.0,True,GSAO,11,11,189.44,189.44,0.0,284157.06,102610.77,36.11,63.89,980.66,1,11.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1000xliv,1000.0,livre,False,GSAO,11,11,247.69,189.44,23.52,247685.86,102610.77,41.43,58.57,1393.98,1,11.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1500xliv,1500.0,livre,False,GSAO,11,11,189.44,189.44,0.0,284157.06,102610.77,36.11,63.89,1041.69,1,11.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1000x2000mm,1000.0,2000.0,True,GSAO,18,18,1792.34,939.83,47.56,1792341.9,939828.04,52.44,47.56,7386.47,1,18.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1500x3000mm,1500.0,3000.0,True,GSAO,18,18,1346.31,626.55,53.46,2019464.64,939828.04,46.54,53.46,8768.53,1,18.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1000xliv,1000.0,livre,False,GSAO,18,18,1792.34,939.83,47.56,1792341.9,939828.04,52.44,47.56,7261.18,1,18.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1500xliv,1500.0,livre,False,GSAO,18,18,1346.31,626.55,53.46,2019464.64,939828.04,46.54,53.46,8852.24,1,18.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1000x2000mm,1000.0,2000.0,True,GSAO,20,20,1167.52,661.39,43.35,1167521.39,661391.59,56.65,43.35,11668.55,1,20.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1500x3000mm,1500.0,3000.0,True,GSAO,20,20,766.59,528.73,31.03,1149879.29,661391.59,57.52,42.48,12430.56,1,20.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1000xliv,1000.0,livre,False,GSAO,20,20,1167.52,661.39,43.35,1167521.39,661391.59,56.65,43.35,12181.09,1,20.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1500xliv,1500.0,livre,False,GSAO,20,20,766.59,528.73,31.03,1149879.29,661391.59,57.52,42.48,12448.18,1,20.0,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1000x2000mm,1000.0,2000.0,True,GSAO,40,40,10690.61,8164.23,23.63,10690613.41,8164228.61,76.37,23.63,11059.93,7,5.7,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1500x3000mm,1500.0,3000.0,True,GSAO,40,40,8919.2,5442.82,38.98,13378792.69,8164228.61,61.02,38.98,23336.36,3,13.3,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1000xliv,1000.0,livre,False,GSAO,40,40,10644.91,8164.23,23.3,10644913.91,8164228.61,76.7,23.3,21166.73,2,20.0,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1500xliv,1500.0,livre,False,GSAO,40,40,8987.53,5442.82,39.44,13481302.49,8164228.61,60.56,39.44,55041.74,1,40.0,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1000x2000mm,1000.0,2000.0,True,GSAO,50,50,8400.33,6020.16,28.33,8400326.81,6020163.32,71.67,28.33,22338.64,6,8.3,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1500x3000mm,1500.0,3000.0,True,GSAO,50,50,7108.57,4013.44,43.54,10662850.86,6020163.32,56.46,43.54,53080.34,3,16.7,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1000xliv,1000.0,livre,False,GSAO,50,50,8629.43,6020.16,30.24,8629426.81,6020163.32,69.76,30.24,46250.63,2,25.0,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1500xliv,1500.0,livre,False,GSAO,50,50,6863.09,4013.44,41.52,10294628.51,6020163.32,58.48,41.52,87556.59,1,50.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1000xliv,1000.0,livre,False,sparrow,6,6,265.28,106.79,59.74,265278.98,60936.73,22.97,77.03,3001.72,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1500xliv,1500.0,livre,False,sparrow,6,6,265.28,106.79,59.74,397918.48,60936.73,15.31,84.69,3002.14,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1000x2000mm,1000.0,2000.0,True,GSAO,6,6,189.44,106.79,43.63,189438.04,60936.73,32.17,67.83,1453.44,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1500x3000mm,1500.0,3000.0,True,GSAO,6,6,106.79,106.79,0.0,160182.46,60936.73,38.04,61.96,1436.4,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1000xliv,1000.0,livre,False,GSAO,6,6,189.44,106.79,43.63,189438.04,60936.73,32.17,67.83,1528.96,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1500xliv,1500.0,livre,False,GSAO,6,6,106.79,106.79,0.0,160182.46,60936.73,38.04,61.96,1361.09,1,6.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1000xliv,1000.0,livre,False,sparrow,20,20,1181.49,661.39,44.02,1181493.36,661391.59,55.98,44.02,3271.71,1,20.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1500xliv,1500.0,livre,False,sparrow,20,20,720.6,440.93,38.81,1080896.16,661391.59,61.19,38.81,3652.7,1,20.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1000x2000mm,1000.0,2000.0,True,sparrow,6,6,265.28,106.79,59.74,265278.98,60936.73,22.97,77.03,3001.76,1,6.0,,
E1,6 peças · 2 tipos · DN50/DN80 · peças pequenas,6,2,1500x3000mm,1500.0,3000.0,True,sparrow,6,6,265.28,106.79,59.74,397918.48,60936.73,15.31,84.69,3001.15,1,6.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1000x2000mm,1000.0,2000.0,True,sparrow,11,11,265.28,106.79,59.74,265278.98,102610.77,38.68,61.32,3001.59,1,11.0,,
E2,11 peças · 4 tipos · DN50/DN80/DN100,11,4,1500x3000mm,1500.0,3000.0,True,sparrow,11,11,265.28,106.79,59.74,397918.48,102610.77,25.79,74.21,3005.69,1,11.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1000x2000mm,1000.0,2000.0,True,sparrow,18,18,2536.41,939.83,62.95,2536409.76,939828.04,37.05,62.95,3008.22,2,9.0,,
E3,18 peças · 2 tipos · DN150 · repetição,18,2,1500x3000mm,1500.0,3000.0,True,sparrow,18,18,1523.65,626.55,58.88,2285482.32,939828.04,41.12,58.88,3205.51,1,18.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1000x2000mm,1000.0,2000.0,True,sparrow,20,20,1181.49,661.39,44.02,1181493.36,661391.59,55.98,44.02,3129.5,1,20.0,,
E4,20 peças · 4 tipos · DN100/DN150/DN200 · lote misto,20,4,1500x3000mm,1500.0,3000.0,True,sparrow,20,20,720.6,440.93,38.81,1080896.16,661391.59,61.19,38.81,3727.91,1,20.0,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1000x2000mm,1000.0,2000.0,True,sparrow,40,40,36555.8,8164.23,77.67,36555798.8,8164228.61,22.33,77.67,5256.42,27,1.5,,
E5,40 peças · 2 tipos · DN300 · peças grandes,40,2,1500x3000mm,1500.0,3000.0,True,sparrow,40,40,19137.73,5442.82,71.56,28706602.02,8164228.61,28.44,71.56,3997.07,7,5.7,,
E6,50 peças · 4 tipos · DN200/DN300 · máxima complexidade,50,4,1000x2000mm,1000.0,2000.0,True,sparrow,50,50,24449.3,6020.16,75.38,24449300.31,6020163.32,24.62,75.38,3958.17,18,2.8,,
